Virat Kohli
Rohit Sharma
David Warner
Kane Williamson
Faf du Plessis
Dewald Brevis
Shubman Gill
Suryakumar Yadav
Jos Buttler
Devon Conway
Travis Head
Sherfane Rutherford
Ruturaj Gaikwad
Shreyas Iyer
Tilak Varma
Rajat Patidar
Glenn Phillips
Jason Roy
Nitish Rana
Rahul Tripathi
Mayank Agarwal
Devdutt Padikkal
Yashasvi Jaiswal
Rinku Singh
Sai Sudharsan
Shimron Hetmyer
Rovman Powell
Ajinkya Rahane
Manish Pandey
Abhishek Sharma
Angkrish Raghuvanshi
Prithvi Shaw
Riyan Parag
Abdul Samad
Shahrukh Khan
Sarfaraz Khan
Anmolpreet Singh
Mandeep Singh
Karun Nair
Cheteshwar Pujara
Gurnoor Singh Brar
Robin Minz
Shubham Dubey
Aniket Verma
Yash Dhull
Priyam Garg
Abhinav Manohar
Ayush Badoni
Ajay Mandal
Ashutosh Sharma
Madhav Tiwari
Himmat Singh
Harnoor Pannu
Mitch Owen
Musheer Khan
Priyansh Arya
Pyla Avinash
Suryansh Shedge
Vaibhav Suryavanshi
Ayush Mhatre
MS Dhoni
Rishabh Pant
KL Rahul
Sanju Samson
Heinrich Klaasen
Quinton de Kock
Ryan Rickelton
Ishan Kishan
Phil Salt
Jonny Bairstow
Dinesh Karthik
Jitesh Sharma
Dhruv Jurel
Wriddhiman Saha
KS Bharat
Prabhsimran Singh
Anuj Rawat
Narayan Jagadeesan
Tim Seifert
Matthew Wade
Sam Billings
Vishnu Vinod
Upendra Yadav
Abishek Porel
Kumar Kushagra
Donovan Ferreira
Urvil Patel
Hardik Pandya
Ravindra Jadeja
Andre Russell
Glenn Maxwell
Rashid Khan
Mitchell Santner
Will Jacks
Azmatullah Omarzai
Shivam Dube
Axar Patel
Cameron Green
Marcus Stoinis
Mitchell Marsh
Sam Curran
Liam Livingstone
Jamie Overton
Moeen Ali
Ben Stokes
Wanindu Hasaranga
Sunil Narine
Jason Holder
Aiden Markram
Jayant Yadav
Shreyas Gopal
Kamindu Mendis
Krunal Pandya
Washington Sundar
Shardul Thakur
Rahul Tewatia
Shahbaz Ahmed
Harpreet Brar
Rishi Dhawan
Lalit Yadav
Ramandeep Singh
Anukul Roy
Swapnil Singh
Karn Sharma
Nishant Sindhu
R. Sai Kishore
Raj Angad Bawa
Dwaine Pretorius
Andile Phehlukwayo
Romario Shepherd
Fabian Allen
Odean Smith
Mohammad Nabi
Shakib Al Hasan
Manav Suthar
Matthew Breetzke
Allah Ghazanfar
Jacob Bethell
Nitish Kumar Reddy
Smaran Ravichandaran
Jasprit Bumrah
Mohammed Shami
Pat Cummins
Kagiso Rabada
Yuzvendra Chahal
Mitchell Starc
Trent Boult
Anrich Nortje
Josh Hazlewood
Nathan Ellis
Kuldeep Yadav
Arshdeep Singh
Bhuvneshwar Kumar
Ravi Bishnoi
Varun Chakaravarthy
Mayank Markande
Brydon Carse
Harshal Patel
Avesh Khan
Prasidh Krishna
T Natarajan
Mohammed Siraj
Mukesh Kumar
Harshit Rana
Vaibhav Arora
Arjun Tendulkar
Mayank Yadav
Suyash Sharma
Vyshak Vijaykumar
Xavier Bartlett
Mukesh Choudhary
Yash Thakur
Ishant Sharma
Umesh Yadav
Khaleel Ahmed
Chetan Sakariya
Jaydev Unadkat
Umran Malik
Yash Dayal
Akash Madhwal
Simarjeet Singh
Rahul Chahar
Digvesh Rathi
Manimaran Siddharth
Prince Yadav
Ashwani Kumar
Corbin Bosch
Naman Dhir
Rasikh Dar
Gurjapneet Singh
Adam Zampa
Mujeeb Ur Rahman
Fazalhaq Farooqi
Naveen-ul-Haq
Noor Ahmad
Maheesh Theekshana
Matheesha Pathirana
Dushmantha Chameera
Mustafizur Rahman
Alzarri Joseph
Obed McCoy
Akeal Hosein
Reece Topley
Mark Wood
Adil Rashid
Chris Jordan
Tymal Mills
Lockie Ferguson
Matt Henry
Ish Sodhi
Mohd. Arshad Khan
Arshin Kulkarni
Raghu Sharma
Kwena Maphaka
Lhuan-Dre Pretorius
Nandre Burger
Yudhvir Charak
Abhinandan Singh
Harsh Dubey
Zeeshan Ansari
Anshul Kamboj
Ramakrishna Ghosh
