Abdul Samad
Abhinandan Singh
Abhinav Manohar
Abhishek Sharma
Abishek Porel
Adam Zampa
Adil Rashid
Aiden Markram
Ajay Mandal
Ajinkya Rahane
Akash Madhwal
Akeal Hosein
Allah Ghazanfar
Alzarri Joseph
Andile Phehlukwayo
Andre Russell
Angkrish Raghuvanshi
Aniket Verma
Anmolpreet Singh
Anrich Nortje
Anshul Kamboj
Anuj Rawat
Anukul Roy
Arjun Tendulkar
Arshdeep Singh
Arshin Kulkarni
Ashutosh Sharma
Ashwani Kumar
Avesh Khan
Axar Patel
Ayush Badoni
Ayush Mhatre
Azmatullah Omarzai
Ben Stokes
Bhuvneshwar Kumar
Brydon Carse
Cameron Green
Chetan Sakariya
Cheteshwar Pujara
Chris Jordan
Corbin Bosch
David Warner
Devdutt Padikkal
Devon Conway
Dewald Brevis
Dhruv Jurel
Digvesh Rathi
Dinesh Karthik
Donovan Ferreira
Dushmantha Chameera
Dwaine Pretorius
Fabian Allen
Faf du Plessis
Fazalhaq Farooqi
Glenn Maxwell
Glenn Phillips
Gurjapneet Singh
Gurnoor Singh Brar
Hardik Pandya
Harnoor Pannu
Harpreet Brar
Harsh Dubey
Harshal Patel
Harshit Rana
Heinrich Klaasen
Himmat Singh
Ish Sodhi
Ishan Kishan
Ishant Sharma
Jacob Bethell
Jamie Overton
Jason Holder
Jason Roy
Jasprit Bumrah
Jayant Yadav
Jaydev Unadkat
Jitesh Sharma
Jonny Bairstow
Jos Buttler
Josh Hazlewood
KL Rahul
KS Bharat
Kagiso Rabada
Kamindu Mendis
Kane Williamson
Karn Sharma
Karun Nair
Khaleel Ahmed
Krunal Pandya
Kuldeep Yadav
Kumar Kushagra
Kwena Maphaka
Lalit Yadav
Lhuan-Dre Pretorius
Liam Livingstone
Lockie Ferguson
MS Dhoni
Madhav Tiwari
Maheesh Theekshana
Manav Suthar
Mandeep Singh
Manimaran Siddharth
Manish Pandey
Marcus Stoinis
Mark Wood
Matheesha Pathirana
Matt Henry
Matthew Breetzke
Matthew Wade
Mayank Agarwal
Mayank Markande
Mayank Yadav
Mitch Owen
Mitchell Marsh
Mitchell Santner
Mitchell Starc
Moeen Ali
Mohammad Nabi
Mohammed Shami
Mohammed Siraj
Mohd. Arshad Khan
Mujeeb Ur Rahman
Mukesh Choudhary
Mukesh Kumar
Musheer Khan
Mustafizur Rahman
Naman Dhir
Nandre Burger
Narayan Jagadeesan
Nathan Ellis
Naveen-ul-Haq
Nishant Sindhu
Nitish Kumar Reddy
Nitish Rana
Noor Ahmad
Obed McCoy
Odean Smith
Pat Cummins
Phil Salt
Prabhsimran Singh
Prasidh Krishna
Prince Yadav
Prithvi Shaw
Priyam Garg
Priyansh Arya
Pyla Avinash
Quinton de Kock
R. Sai Kishore
Raghu Sharma
Rahul Chahar
Rahul Tewatia
Rahul Tripathi
Raj Angad Bawa
Rajat Patidar
Ramakrishna Ghosh
Ramandeep Singh
Rashid Khan
Rasikh Dar
Ravi Bishnoi
Rinku Singh
Rishabh Pant
Rishi Dhawan
Riyan Parag
Robin Minz
Rohit Sharma
Romario Shepherd
Rovman Powell
Ruturaj Gaikwad
Ryan Rickelton
Sai Sudharsan
Sam Billings
Sam Curran
Sanju Samson
Sarfaraz Khan
Shahbaz Ahmed
Shahrukh Khan
Shakib Al Hasan
Shardul Thakur
Sherfane Rutherford
Shimron Hetmyer
Shreyas Gopal
Shreyas Iyer
Shubham Dubey
Shubman Gill
Simarjeet Singh
Smaran Ravichandaran
Sunil Narine
Suryakumar Yadav
Suryansh Shedge
Suyash Sharma
Swapnil Singh
T Natarajan
Tilak Varma
Tim Seifert
Travis Head
Trent Boult
Tymal Mills
Umesh Yadav
Umran Malik
Upendra Yadav
Urvil Patel
Vaibhav Arora
Vaibhav Suryavanshi
Varun Chakaravarthy
Virat Kohli
Vishnu Vinod
Vyshak Vijaykumar
Wanindu Hasaranga
Washington Sundar
Will Jacks
Wriddhiman Saha
Xavier Bartlett
Yash Dayal
Yash Dhull
Yash Thakur
Yashasvi Jaiswal
Yudhvir Charak
Yuzvendra Chahal
Zeeshan Ansari
